price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,payment_terms,agent_name,agency_name,listing_url,scraped_date,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score
95000.0,Mainway Meadows,Harare South,3 Bedroom House,3.0,,150.0,500.0,False,,Green Nekati,Alliance Properties,https://www.property.co.zw/for-sale/houses-aalp242189,2026-04-07,False,False,True,True,True,True,False,False,4,0,0,0,633.3333333333334,1900000.0,31666.666666666668,,0.3,0.0015789473684210526,4,0,1,1,0.02,,0.3,Budget,6
1800000.0,Carrick Creagh,Harare North,7 Bedroom House,7.0,9.0,2100.0,9013.0,False,,simbarashe mupfekeri,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp209715,2026-04-07,True,False,True,False,True,True,False,True,5,0,0,0,857.1428571428571,1997115.2779318762,257142.85714285713,200000.0,0.23299678242538555,0.0011666666666666668,5,1,1,2,0.0033333333333333335,1.2857142857142858,0.23299678242538555,Luxury,6
125000.0,Houghton Park,Harare South,4 Bedroom House,4.0,2.0,200.0,600.0,False,,Admire Mukwidza,PropertyBox Real Estate,https://www.property.co.zw/for-sale/houses-pbox244057,2026-04-07,False,True,False,True,True,False,False,False,3,0,0,0,625.0,2083333.3333333335,31250.0,62500.0,0.3333333333333333,0.0016,3,1,0,1,0.02,0.5,0.3333333333333333,Mid,6
120000.0,Ridgemont,Gweru,4 Bedroom House,4.0,2.0,240.0,12140.0,False,,Mandy Mupeti,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp231600,2026-04-07,False,False,True,True,True,True,False,False,4,0,0,0,500.0,98846.78747940692,30000.0,60000.0,0.019769357495881382,0.002,4,0,1,1,0.016666666666666666,0.5,0.019769357495881382,Mid,6
140000.0,Tynwald,Harare West,4 Bedroom House,4.0,,220.0,300.0,False,,Lindy Gonani,Guest and Tanner Real Estate,https://www.property.co.zw/for-sale/houses-gat243903,2026-04-07,False,True,False,False,True,True,False,False,3,0,0,0,636.3636363636364,4666666.666666667,35000.0,,0.7333333333333333,0.0015714285714285715,3,1,1,1,0.01818181818181818,,0.7333333333333333,Mid,6
159000.0,Arlington,Harare South,2 Bedroom Townhouse Complex,2.0,2.0,145.0,340.0,False,,Kuda N,Robert Root,https://www.property.co.zw/for-sale/townhouses-rrt241667,2026-04-07,True,False,False,False,True,True,False,False,3,0,0,0,1096.551724137931,4676470.5882352935,79500.0,79500.0,0.4264705882352941,0.0009119496855345912,3,0,1,1,0.013793103448275862,1.0,0.4264705882352941,Mid,6
400000.0,Newlands,Harare North,3 Bedroom Townhouse Complex,3.0,2.0,240.0,500.0,False,of up to 15 years,Debra Westerhout,Clark Properties,https://www.property.co.zw/for-sale/townhouses-clrp225101,2026-04-07,True,True,True,False,True,True,True,False,6,0,0,0,1666.6666666666667,8000000.0,133333.33333333334,200000.0,0.48,0.0006,6,2,1,4,0.0125,0.6666666666666666,0.48,Luxury,6
217000.0,Greendale North,Harare North,12 Unit Townhouse Complex,3.0,3.0,150.0,500.0,False,,Lorraine Kruger,Pam Golding Properties,https://www.property.co.zw/for-sale/townhouses-pgp238705,2026-04-07,True,False,True,False,True,True,False,False,4,0,0,0,1446.6666666666667,4340000.0,72333.33333333333,72333.33333333333,0.3,0.0006912442396313364,4,0,1,2,0.02,1.0,0.3,Mid,6
285000.0,Mount Pleasant Heights,Harare North,4 Bedroom House,4.0,3.0,700.0,2000.0,False,,Leonita,House of Stone Properties,https://www.property.co.zw/for-sale/houses-hos235830,2026-04-07,False,True,True,True,True,False,False,False,4,0,0,0,407.14285714285717,1425000.0,71250.0,95000.0,0.35,0.002456140350877193,4,1,0,2,0.005714285714285714,0.75,0.35,Premium,6
740000.0,Rolf Valley,Harare North,4 Bedroom House,4.0,3.0,1500.0,4021.0,False,,Melinda Wolvaardt,Clark Properties,https://www.property.co.zw/for-sale/houses-clrp241586,2026-04-07,True,True,True,False,True,True,True,False,6,0,0,0,493.3333333333333,1840338.2243223079,185000.0,246666.66666666666,0.37304153195722456,0.002027027027027027,6,2,1,4,0.0026666666666666666,0.75,0.37304153195722456,Luxury,6
280000.0,Hillside,Bulawayo South,4 Bedroom House,4.0,2.0,,6714.0,False,,Debra Williams,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp229506,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,,417039.02293714625,70000.0,140000.0,,,3,0,0,1,,0.5,,Premium,5
200000.0,Haydon Park,Harare West,5 Bedroom House,5.0,5.0,450.0,1100.0,False,,Anesu Mombemuriwo,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp243611,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,444.44444444444446,1818181.8181818181,40000.0,40000.0,0.4090909090909091,0.00225,3,0,0,1,0.011111111111111112,1.0,0.4090909090909091,Mid,6
90000.0,Rockview,Harare East,4 Bedroom House,4.0,3.0,400.0,1000.0,False,,Francis Chinjekure,Rawson Properties Harare,https://www.property.co.zw/for-sale/houses-rws225552,2026-04-07,False,False,False,False,True,False,False,False,1,0,0,0,225.0,900000.0,22500.0,30000.0,0.4,0.0044444444444444444,1,0,0,0,0.01,0.75,0.4,Budget,6
470000.0,The Grange,Harare North,5 Bedroom House,5.0,3.0,560.0,4155.0,False,,Belinda Gamanya,Pam Golding Properties,https://www.property.co.zw/for-sale/houses-pgp241766,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,839.2857142857143,1131167.268351384,94000.0,156666.66666666666,0.13477737665463296,0.0011914893617021277,3,0,0,1,0.008928571428571428,0.6,0.13477737665463296,Luxury,6
520000.0,Glen Lorne,Harare North,4 Bedroom House,4.0,4.0,1000.0,4000.0,False,,Joshua Mutsena,Guest and Tanner Real Estate,https://www.property.co.zw/for-sale/houses-gat231333,2026-04-07,False,False,True,True,True,False,False,False,3,0,0,0,520.0,1300000.0,130000.0,130000.0,0.25,0.0019230769230769232,3,0,0,1,0.004,1.0,0.25,Luxury,6
40000.0,Senga,Gweru,2 Bedroom House,2.0,2.0,500.0,800.0,False,,Abigail Marimbe,Carson & Carson Real Estate,https://www.property.co.zw/for-sale/houses-cac237703,2026-04-07,False,True,True,True,True,True,False,False,5,0,0,0,80.0,500000.0,20000.0,20000.0,0.625,0.0125,5,1,1,2,0.004,1.0,0.625,Budget,6
30000.0,Budiriro,Harare High Density,3 Bedroom House,3.0,1.0,200.0,300.0,False,,Eurita Mhonda,Sermony Properties,https://www.property.co.zw/for-sale/houses-smy243457,2026-04-07,False,False,False,False,True,False,False,False,1,0,0,0,150.0,1000000.0,10000.0,30000.0,0.6666666666666666,0.006666666666666667,1,0,0,0,0.015,0.3333333333333333,0.6666666666666666,Budget,6
35000.0,,,4 Bedroom House,4.0,2.0,250.0,300.0,False,,Tatenda Mazhandu,Just Property,https://www.property.co.zw/for-sale/houses-jspp237325,2026-04-07,False,False,False,False,True,False,False,False,1,1,1,1,140.0,1166666.6666666667,8750.0,17500.0,0.8333333333333334,0.007142857142857143,1,0,0,0,0.016,0.5,0.8333333333333334,Budget,3
160000.0,Selbourne Park,Bulawayo East,4 Bedroom House,4.0,2.0,250.0,1350.0,False,,Natasha Moyo,Seeff Zimbabwe,https://www.property.co.zw/for-sale/houses-sef240044,2026-04-07,False,False,True,False,True,False,False,False,2,0,0,0,640.0,1185185.1851851852,40000.0,80000.0,0.18518518518518517,0.0015625,2,0,0,1,0.016,0.5,0.18518518518518517,Mid,6
150000.0,Bloomingdale,Harare West,4 Bedroom House,4.0,2.0,200.0,450.0,False,,Danisile Kudinga,Guest and Tanner Real Estate,https://www.property.co.zw/for-sale/houses-gat237919,2026-04-07,False,False,False,True,True,False,False,False,2,0,0,0,750.0,3333333.3333333335,37500.0,75000.0,0.4444444444444444,0.0013333333333333333,2,0,0,0,0.02,0.5,0.4444444444444444,Mid,6
