price,suburb,region,house_type,bedrooms,bathrooms,floor_area,land_size,furnished,has_pool,has_solar,has_borehole,has_garage,has_garden,has_security,has_inverter,has_generator,amenities_count,missing_suburb,missing_region,location_issue,price_per_sqm_floor,price_per_hectare,price_per_bed,price_per_bath,size_ratio,value_density,amenity_score,energy_score,maintenance_burden,modern_amenities,bed_quality,bath_ratio,land_efficiency,segment,data_quality_score,log_price,house_category,segment_encoded,region_price_enc,suburb_price_enc,house_category_encoded,is_House,is_Townhouse
280000.0,Mount Pleasant Heights,Harare North,3 Bedroom House,3.0,3.0,400.0,1175.0,0,0,1,1,0,1,1,0,0,4,0,0,0,700.0,2382978.723404255,93333.33333333333,93333.33333333333,0.3404255319148936,238.29787234042553,2,2,1,1,0.0075,1.0,0.3404255319148936,Premium,7,12.54254845357358,House,2,470000.0,350000.0,0,True,False
140000.0,Tynwald,Harare West,4 Bedroom House,4.0,2.0,450.0,600.0,0,0,0,1,1,1,0,0,0,3,0,0,0,311.1111111111111,2333333.3333333335,35000.0,70000.0,0.75,233.33333333333334,2,1,1,0,0.0088888888888888,0.5,0.75,Mid,7,11.849404844423074,House,1,200000.0,110000.0,0,True,False
140000.0,Sandton Park,Harare West,5 Bedroom House,5.0,4.0,800.0,3000.0,0,0,1,1,1,1,0,0,0,4,0,0,0,175.0,466666.6666666667,28000.0,35000.0,0.26666666666666666,46.666666666666664,2,2,1,1,0.00625,0.8,0.2666666666666666,Mid,7,11.849404844423074,House,1,200000.0,140000.0,0,True,False
230000.0,Hogerty Hill,Harare North,7 Bedroom House,7.0,2.0,400.0,4348.0,0,0,0,0,0,1,0,0,0,1,0,0,0,575.0,528978.8408463661,32857.142857142855,115000.0,0.09199632014719411,52.897884084636615,1,0,1,0,0.0175,0.2857142857142857,0.0919963201471941,Mid,7,12.345838935721968,House,1,470000.0,380000.0,0,True,False
95000.0,Mainway Meadows,Harare South,3 Bedroom House,3.0,2.0,150.0,500.0,0,0,0,1,1,1,1,0,0,4,0,0,0,633.3333333333334,1900000.0,31666.666666666668,47500.0,0.3,190.0,3,1,1,0,0.02,0.6666666666666666,0.3,Budget,7,11.461642696843066,House,0,145000.0,110000.0,0,True,False
1800000.0,Carrick Creagh,Harare North,7 Bedroom House,7.0,9.0,2100.0,9013.0,0,1,0,1,0,1,1,0,1,5,0,0,0,857.1428571428571,1997115.2779318762,257142.85714285713,200000.0,0.23299678242538555,199.71152779318763,3,2,3,1,0.0033333333333333,1.2857142857142858,0.2329967824253855,Luxury,7,14.403297778421795,House,3,470000.0,370000.0,0,True,False
125000.0,Houghton Park,Harare South,4 Bedroom House,4.0,2.0,200.0,600.0,0,0,1,0,1,1,0,0,0,3,0,0,0,625.0,2083333.3333333335,31250.0,62500.0,0.3333333333333333,208.33333333333334,2,1,1,1,0.02,0.5,0.3333333333333333,Mid,7,11.736077016252437,House,1,145000.0,115000.0,0,True,False
120000.0,Ridgemont,Gweru,4 Bedroom House,4.0,2.0,240.0,12140.0,0,0,0,1,1,1,1,0,0,4,0,0,0,500.0,98846.78747940692,30000.0,60000.0,0.019769357495881382,9.884678747940692,3,1,1,0,0.0166666666666666,0.5,0.0197693574958813,Mid,7,11.695255355062795,House,1,86250.0,135000.0,0,True,False
140000.0,Tynwald,Harare West,4 Bedroom House,4.0,2.0,220.0,300.0,0,0,1,0,0,1,1,0,0,3,0,0,0,636.3636363636364,4666666.666666667,35000.0,70000.0,0.7333333333333333,466.6666666666667,2,1,1,1,0.0181818181818181,0.5,0.7333333333333333,Mid,7,11.849404844423074,House,1,200000.0,110000.0,0,True,False
159000.0,Arlington,Harare South,2 Bedroom Townhouse Complex,2.0,2.0,145.0,340.0,0,1,0,0,0,1,1,0,0,3,0,0,0,1096.551724137931,4676470.5882352935,79500.0,79500.0,0.4264705882352941,467.6470588235294,3,0,2,0,0.0137931034482758,1.0,0.4264705882352941,Mid,7,11.976665770490767,Townhouse,1,145000.0,190000.0,1,False,True
